"countryname","region","indicator","value"
"taiwan","East and Southeast Asia","deaths.1000.live.births",3.8
"taiwan","East and Southeast Asia","years",81.6
"taiwan","East and Southeast Asia","deaths.100000.live.births",NA
"tajikistan","Central Asia","deaths.1000.live.births",21.7
"tajikistan","Central Asia","years",71.9
"tajikistan","Central Asia","deaths.100000.live.births",14
"tanzania","Africa","deaths.1000.live.births",29.6
"tanzania","Africa","years",70.8
"tanzania","Africa","deaths.100000.live.births",276
"thailand","East and Southeast Asia","deaths.1000.live.births",6.3
"thailand","East and Southeast Asia","years",78.2
"thailand","East and Southeast Asia","deaths.100000.live.births",34
"timor-leste","East and Southeast Asia","deaths.1000.live.births",32.2
"timor-leste","East and Southeast Asia","years",70.5
"timor-leste","East and Southeast Asia","deaths.100000.live.births",192
"togo","Africa","deaths.1000.live.births",38.4
"togo","Africa","years",72.1
"togo","Africa","deaths.100000.live.births",349
"tonga","Australia and Oceania","deaths.1000.live.births",11.8
"tonga","Australia and Oceania","years",78
"tonga","Australia and Oceania","deaths.100000.live.births",67
"trinidad-and-tobago","Central America and the Caribbean","deaths.1000.live.births",15.1
"trinidad-and-tobago","Central America and the Caribbean","years",76.5
"trinidad-and-tobago","Central America and the Caribbean","deaths.100000.live.births",54
"tunisia","Africa","deaths.1000.live.births",11.3
"tunisia","Africa","years",77.3
"tunisia","Africa","deaths.100000.live.births",36
"turkey-turkiye","Middle East","deaths.1000.live.births",18.4
"turkey-turkiye","Middle East","years",76.7
"turkey-turkiye","Middle East","deaths.100000.live.births",15
"turkmenistan","Central Asia","deaths.1000.live.births",35.9
"turkmenistan","Central Asia","years",72.4
"turkmenistan","Central Asia","deaths.100000.live.births",5
"turks-and-caicos-islands","Central America and the Caribbean","deaths.1000.live.births",11.1
"turks-and-caicos-islands","Central America and the Caribbean","years",81.3
"turks-and-caicos-islands","Central America and the Caribbean","deaths.100000.live.births",NA
"tuvalu","Australia and Oceania","deaths.1000.live.births",27.8
"tuvalu","Australia and Oceania","years",69
"tuvalu","Australia and Oceania","deaths.100000.live.births",170
"uganda","Africa","deaths.1000.live.births",28.5
"uganda","Africa","years",69.7
"uganda","Africa","deaths.100000.live.births",170
"ukraine","Europe","deaths.1000.live.births",8.7
"ukraine","Europe","years",70.5
"ukraine","Europe","deaths.100000.live.births",15
"united-arab-emirates","Middle East","deaths.1000.live.births",5
"united-arab-emirates","Middle East","years",79.9
"united-arab-emirates","Middle East","deaths.100000.live.births",3
"united-kingdom","Europe","deaths.1000.live.births",3.8
"united-kingdom","Europe","years",82.2
"united-kingdom","Europe","deaths.100000.live.births",8
"united-states","North America","deaths.1000.live.births",5.1
"united-states","North America","years",80.9
"united-states","North America","deaths.100000.live.births",17
"uruguay","South America","deaths.1000.live.births",8
"uruguay","South America","years",78.9
"uruguay","South America","deaths.100000.live.births",15
"uzbekistan","Central Asia","deaths.1000.live.births",18.2
"uzbekistan","Central Asia","years",76.2
"uzbekistan","Central Asia","deaths.100000.live.births",26
"vanuatu","Australia and Oceania","deaths.1000.live.births",13.7
"vanuatu","Australia and Oceania","years",75.7
"vanuatu","Australia and Oceania","deaths.100000.live.births",100
"venezuela","South America","deaths.1000.live.births",13.9
"venezuela","South America","years",74.5
"venezuela","South America","deaths.100000.live.births",227
"vietnam","East and Southeast Asia","deaths.1000.live.births",14.1
"vietnam","East and Southeast Asia","years",76.1
"vietnam","East and Southeast Asia","deaths.100000.live.births",48
"virgin-islands","Central America and the Caribbean","deaths.1000.live.births",7.3
"virgin-islands","Central America and the Caribbean","years",80.7
"virgin-islands","Central America and the Caribbean","deaths.100000.live.births",NA
"wallis-and-futuna","Australia and Oceania","deaths.1000.live.births",3.9
"wallis-and-futuna","Australia and Oceania","years",81.1
"wallis-and-futuna","Australia and Oceania","deaths.100000.live.births",NA
"west-bank","Middle East","deaths.1000.live.births",15.1
"west-bank","Middle East","years",76.5
"west-bank","Middle East","deaths.100000.live.births",16
"yemen","Middle East","deaths.1000.live.births",44.6
"yemen","Middle East","years",68.2
"yemen","Middle East","deaths.100000.live.births",118
"zambia","Africa","deaths.1000.live.births",35.6
"zambia","Africa","years",66.9
"zambia","Africa","deaths.100000.live.births",85
"zimbabwe","Africa","deaths.1000.live.births",33.4
"zimbabwe","Africa","years",67.2
"zimbabwe","Africa","deaths.100000.live.births",358
